"nb","es"
"Dette er ikke en ADHD-test","Esto no es una prueba de TDAH."
"Jeg klarer vanligvis å starte på kjedelige oppgaver uten særlig friksjon","Normalmente logro empezar tareas aburridas sin demasiada fricción."
"Jeg mister sjelden viktige ting, og finner dem raskt hvis det skjer","Rara vez pierdo cosas importantes, y si ocurre, las encuentro rápido."
"Jeg blir stort sett oppfattet som pålitelig når det gjelder avtaler og frister","Por lo general se me considera fiable en lo que respecta a citas y plazos."
"Jeg klarer som regel å holde fokus på én oppgave til den er fullført","Por lo general consigo mantenerme concentrado en una tarea hasta terminarla."
"Jeg er ikke avhengig av kaos eller siste liten for å komme i gang","No dependo del caos ni de la presión del último minuto para ponerme en marcha."
"Jeg blir ikke så rastløs at jeg må bevege meg eller avbryte andre","No me pongo tan inquieto como para necesitar moverme o interrumpir a otras personas."
"Jeg glemmer ikke avtaler eller beskjeder i en grad som skaper problemer","No olvido citas o mensajes hasta un punto que genere problemas."
"Når noe er viktig, klarer jeg å organisere tiden så det får plass","Cuando algo es importante, logro organizar mi tiempo para hacerle sitio."
"Tankene løper ikke så ofte løpsk at det hindrer meg i hverdagen","Mis pensamientos no se desbocan tan a menudo como para dificultarme la vida diaria."
"Jeg trenger ikke uvanlig mye ytre struktur for å fungere greit","No necesito una cantidad inusualmente alta de estructura externa para funcionar razonablemente bien."
"Kort om testen","Breve sobre la prueba"
"Denne testen viser hvordan fravær av oppmerksomhets- og reguleringsvansker kan se ut.","Esta prueba muestra cómo puede verse la ausencia de dificultades de atención y regulación."
"Den er ikke diagnostisk. Den kan verken bekrefte eller avkrefte ADHD.","No es diagnóstica. No puede ni confirmar ni descartar el TDAH."
"Beregn resultat","Calcular resultado"
"Spørsmål","Preguntas"
"Dra i hver slider for å velge hvor godt utsagnet har stemt for deg over tid.","Mueve cada control deslizante para indicar hasta qué punto la afirmación se ha ajustado a ti con el tiempo."
"Resultat","Resultado"
"Tolkning","Interpretación"
"Gjennomsnittsskår","Puntuación media"
"Forbehold","Salvedades"
"En klinisk vurdering innebærer utviklingshistorie, funksjon og faglig skjønn","Una evaluación clínica incluye la historia del desarrollo, el funcionamiento diario y el juicio profesional."
"Mennesker kan ha lav struktur eller høy fart uten at det handler om ADHD","Las personas pueden tener poca estructura o un ritmo alto sin que eso tenga que ver con el TDAH."
"Stemmer ikke","No se aplica"
"Litt","Un poco"
"Delvis","Parcialmente"
"Ganske","Bastante"
"Stemmer helt","Se aplica por completo"
"Skift språk","Cambiar idioma"
"Du må svare på alle utsagn før resultatet kan beregnes","Debes responder a todas las afirmaciones antes de calcular el resultado."
"Svarene dine viser få trekk som ligner de reguleringsvanskene man ser ved ADHD.","Tus respuestas muestran pocos rasgos que se parezcan a las dificultades de regulación que se observan en el TDAH."
"Hverdagen virker stabil og forutsigbar.","La vida cotidiana parece estable y predecible."
"Mønsteret ditt ligger godt innenfor normal variasjon: noen styrker, litt friksjon, men ingenting som peker klart i én retning.","Tu patrón se sitúa claramente dentro de la variación normal: algunas fortalezas, algo de fricción, pero nada que apunte claramente en una dirección."
"Du rapporterer en del trekk som kan minne om ADHD, men dette kan like gjerne handle om personlighet, vaner eller livssituasjon.","Tus respuestas incluyen varios rasgos que pueden recordar al TDAH, pero esto también puede tener que ver con la personalidad, los hábitos o la situación vital."
"Du beskriver flere områder som ofte skaper vansker i ADHD. Dette er fortsatt ikke diagnostikk, men det kan være verdt en mer formell vurdering dersom dette skaper problemer i hverdagen.","Tus respuestas apuntan a varias áreas que suelen generar dificultades en el TDAH. Esto sigue sin ser un diagnóstico, pero puede valer la pena una evaluación más formal si esto te causa problemas en la vida diaria."
"av 5","de 5"
"Sendt","Enviado"
"T-skår","Puntuación T"
"Hva betyr T-skår?","¿Qué significa la puntuación T?"
"nb.tskår.md","es.tskår.md"
"Om testen","Sobre la prueba"
"Støtt arbeidet","Apoya el trabajo"
"Du kan støtte videre utvikling av ADHD-appen med en frivillig donasjon via Stripe.","Puedes apoyar el desarrollo continuo de la app de TDAH con una donación voluntaria a través de Stripe."
"Støtt ADHD-appen","Apoya la app de TDAH"
"Frivillig støtte til videre arbeid med ADHD-appen","Apoyo voluntario al trabajo continuado con la app de TDAH"
"Beløp i NOK","Importe en NOK"
"Doner","Donar"
"Du sendes til en sikker Stripe-side for betaling.","Serás enviado a una página segura de Stripe para el pago."
"Takk for støtten!","¡Gracias por tu apoyo!"
"Donasjonen ble avbrutt.","La donación fue cancelada."
"Velg minst 20 kroner.","Elige al menos 20 coronas noruegas."
"Noe gikk galt ved opprettelse av betalingen:","Algo salió mal al crear el pago:"
