"nb","lt"
"Dette er ikke en ADHD-test","Tai nėra ADHD testas."
"Har du ikke ADHD?","Neturite ADHD?"
"Jeg klarer vanligvis å starte på kjedelige oppgaver uten særlig friksjon","Paprastai galiu imtis nuobodžių užduočių be didesnio pasipriešinimo."
"Jeg mister sjelden viktige ting, og finner dem raskt hvis det skjer","Retai pametu svarbius daiktus, o jei taip nutinka, greitai juos randu."
"Jeg blir stort sett oppfattet som pålitelig når det gjelder avtaler og frister","Aplinkiniai mane paprastai laiko patikimu žmogumi, kai kalbama apie susitarimus ir terminus."
"Jeg klarer som regel å holde fokus på én oppgave til den er fullført","Paprastai gebu išlaikyti dėmesį ties viena užduotimi, kol ją užbaigiu."
"Jeg er ikke avhengig av kaos eller siste liten for å komme i gang","Man nereikia chaoso ar paskutinės minutės spaudimo, kad pradėčiau."
"Jeg blir ikke så rastløs at jeg må bevege meg eller avbryte andre","Nerimas netampa toks stiprus, kad turėčiau judėti ar pertraukinėti kitus."
"Jeg glemmer ikke avtaler eller beskjeder i en grad som skaper problemer","Nepamirštu susitikimų ar žinučių tiek, kad tai keltų problemų."
"Når noe er viktig, klarer jeg å organisere tiden så det får plass","Kai kas nors svarbu, sugebu taip susiplanuoti laiką, kad tam atsirastų vietos."
"Tankene løper ikke så ofte løpsk at det hindrer meg i hverdagen","Mintys ne taip dažnai išsibėgioja, kad tai trukdytų kasdieniame gyvenime."
"Jeg trenger ikke uvanlig mye ytre struktur for å fungere greit","Man nereikia neįprastai daug išorinės struktūros, kad normaliai funkcionuočiau."
"Jeg blir ikke så rastløs at jeg må reise meg når det egentlig forventes at jeg sitter rolig","Nerimas netampa toks stiprus, kad turėčiau atsistoti, kai iš manęs tikimasi ramaus sėdėjimo."
"Jeg blir ikke så urolig i kroppen at jeg må tromme, vippe eller fikle for å holde ut","Kūne nekyla toks nerimas, kad turėčiau barbenti, suptis ar žaisti daiktais, kad ištverčiau."
"Jeg føler sjelden et sterkt behov for å gå rundt eller skifte aktivitet bare for å få ro i kroppen","Retai jaučiu stiprų poreikį vaikščioti ar keisti veiklą vien tam, kad kūnas nurimtų."
"Foreløpige spørsmål om kroppslig uro. Disse tre spørsmålene brukes ikke i hovedskåren ennå.","Preliminarūs klausimai apie kūno neramumą. Šie trys klausimai kol kas neįskaičiuojami į pagrindinį rezultatą."
"Kort om testen","Trumpai apie testą"
"Denne testen viser hvordan fravær av oppmerksomhets- og reguleringsvansker kan se ut.","Šis testas parodo, kaip gali atrodyti dėmesio ir savireguliacijos sunkumų nebuvimas."
"Den er ikke diagnostisk. Den kan verken bekrefte eller avkrefte ADHD.","Jis nėra diagnostinis. Jis negali nei patvirtinti, nei paneigti ADHD."
"Beregn resultat","Apskaičiuoti rezultatą"
"Spørsmål","Klausimai"
"Dra i hver slider for å velge hvor godt utsagnet har stemt for deg over tid.","Patraukite kiekvieną slankiklį ir nurodykite, kiek teiginys jums tiko per ilgesnį laiką."
"Resultat","Rezultatas"
"Tolkning","Interpretacija"
"Gjennomsnittsskår","Vidutinis rezultatas"
"Forbehold","Išlygos"
"En klinisk vurdering innebærer utviklingshistorie, funksjon og faglig skjønn.","Klinikinis vertinimas apima raidos istoriją, kasdienį funkcionavimą ir specialisto vertinimą."
"Mennesker kan ha lav struktur eller høy fart uten at det handler om ADHD.","Žmonės gali gyventi su mažai struktūros ar dideliu tempu, ir tai nebūtinai susiję su ADHD."
"Stemmer ikke","Netinka"
"Litt","Šiek tiek"
"Delvis","Iš dalies"
"Ganske","Gana gerai"
"Stemmer helt","Visiškai tinka"
"Skift språk","Keisti kalbą"
"Du må svare på alle utsagn før resultatet kan beregnes.","Prieš apskaičiuojant rezultatą reikia atsakyti į visus teiginius."
"Svarene dine viser få trekk som ligner de reguleringsvanskene man ser ved ADHD.","Jūsų atsakymuose mažai bruožų, primenančių savireguliacijos sunkumus, būdingus ADHD."
"Hverdagen virker stabil og forutsigbar.","Kasdienis gyvenimas atrodo stabilus ir nuspėjamas."
"Mønsteret ditt ligger godt innenfor normal variasjon: noen styrker, litt friksjon, men ingenting som peker klart i én retning.","Jūsų modelis patenka į normalios variacijos ribas: šiek tiek stiprybių, šiek tiek trinties, bet niekas aiškiai nerodo viena kryptimi."
"Du rapporterer en del trekk som kan minne om ADHD, men dette kan like gjerne handle om personlighet, vaner eller livssituasjon.","Nurodote nemažai bruožų, galinčių priminti ADHD, tačiau jie lygiai taip pat gali būti susiję su asmenybe, įpročiais ar gyvenimo situacija."
"Du beskriver flere områder som ofte skaper vansker i ADHD. Dette er fortsatt ikke diagnostikk, men det kan være verdt en mer formell vurdering dersom dette skaper problemer i hverdagen.","Apibūdinate kelias sritis, kuriose ADHD dažnai kelia sunkumų. Tai vis dar nėra diagnozė, bet jei šie sunkumai trikdo kasdienį gyvenimą, gali būti verta formalesnio įvertinimo."
"av 5","iš 5"
"Sendt","Išsiųsta"
"T-skår","T balas"
"Hva betyr T-skår?","Ką reiškia T balas?"
"nb.tskår.md","lt.tskår.md"
"Om testen","Apie testą"
"Støtt arbeidet","Paremkite darbą"
"Du kan støtte videre utvikling av ADHD-appen med en frivillig donasjon via Stripe.","Galite paremti tolesnį ADHD programėlės kūrimą savanoriška auka per „Stripe“."
"Støtt ADHD-appen","Paremkite ADHD programėlę"
"Frivillig støtte til videre arbeid med ADHD-appen","Savanoriška parama tolesniam darbui su ADHD programėle"
"Beløp i NOK","Suma NOK"
"Doner","Aukoti"
"Du sendes til en sikker Stripe-side for betaling.","Būsite nukreipti į saugų „Stripe“ mokėjimo puslapį."
"Takk for støtten!","Ačiū už paramą!"
"Donasjonen ble avbrutt.","Auka buvo atšaukta."
"Velg minst 20 kroner.","Pasirinkite bent 20 kronų."
"Noe gikk galt ved opprettelse av betalingen:","Kuriant mokėjimą įvyko klaida:"
