"nb","pl"
"Dette er ikke en ADHD-test","To nie jest test na ADHD."
"Har du ikke ADHD?","Nie masz ADHD?"
"Jeg klarer vanligvis å starte på kjedelige oppgaver uten særlig friksjon","Zazwyczaj potrafię zabrać się do nudnych zadań bez większych oporów."
"Jeg mister sjelden viktige ting, og finner dem raskt hvis det skjer","Rzadko gubię ważne rzeczy, a jeśli już, szybko je znajduję."
"Jeg blir stort sett oppfattet som pålitelig når det gjelder avtaler og frister","Na ogół uchodzę za osobę niezawodną, jeśli chodzi o spotkania i terminy."
"Jeg klarer som regel å holde fokus på én oppgave til den er fullført","Z reguły potrafię utrzymać skupienie na jednym zadaniu, aż je ukończę."
"Jeg er ikke avhengig av kaos eller siste liten for å komme i gang","Nie potrzebuję chaosu ani presji ostatniej chwili, żeby zacząć działać."
"Jeg blir ikke så rastløs at jeg må bevege meg eller avbryte andre","Nie odczuwam takiego niepokoju, by musieć się ruszać albo przerywać innym."
"Jeg glemmer ikke avtaler eller beskjeder i en grad som skaper problemer","Nie zapominam o spotkaniach ani wiadomościach w stopniu, który stwarza problemy."
"Når noe er viktig, klarer jeg å organisere tiden så det får plass","Gdy coś jest ważne, potrafię tak zorganizować czas, żeby się zmieściło."
"Tankene løper ikke så ofte løpsk at det hindrer meg i hverdagen","Moje myśli nie galopują tak często, by przeszkadzało mi to w codziennym życiu."
"Jeg trenger ikke uvanlig mye ytre struktur for å fungere greit","Nie potrzebuję niezwykle dużo zewnętrznej struktury, żeby dobrze funkcjonować."
"Jeg blir ikke så rastløs at jeg må reise meg når det egentlig forventes at jeg sitter rolig","Nie odczuwam takiego niepokoju, by musieć wstawać, gdy oczekuje się, że będę siedzieć spokojnie."
"Jeg blir ikke så urolig i kroppen at jeg må tromme, vippe eller fikle for å holde ut","Nie czuję w ciele takiego niepokoju, by musieć bębnić palcami, bujać się albo czymś manipulować, żeby wytrzymać."
"Jeg føler sjelden et sterkt behov for å gå rundt eller skifte aktivitet bare for å få ro i kroppen","Rzadko odczuwam silną potrzebę chodzenia albo zmiany aktywności tylko po to, by uspokoić ciało."
"Foreløpige spørsmål om kroppslig uro. Disse tre spørsmålene brukes ikke i hovedskåren ennå.","Wstępne pytania o niepokój ruchowy. Te trzy pytania nie wliczają się jeszcze do wyniku głównego."
"Kort om testen","Krótko o teście"
"Denne testen viser hvordan fravær av oppmerksomhets- og reguleringsvansker kan se ut.","Ten test pokazuje, jak może wyglądać brak trudności z uwagą i samoregulacją."
"Den er ikke diagnostisk. Den kan verken bekrefte eller avkrefte ADHD.","Nie jest narzędziem diagnostycznym. Nie może ani potwierdzić, ani wykluczyć ADHD."
"Beregn resultat","Oblicz wynik"
"Spørsmål","Pytania"
"Dra i hver slider for å velge hvor godt utsagnet har stemt for deg over tid.","Przesuń każdy suwak, aby określić, jak dobrze stwierdzenie pasowało do Ciebie na przestrzeni czasu."
"Resultat","Wynik"
"Tolkning","Interpretacja"
"Gjennomsnittsskår","Średni wynik"
"Forbehold","Zastrzeżenia"
"En klinisk vurdering innebærer utviklingshistorie, funksjon og faglig skjønn.","Ocena kliniczna obejmuje historię rozwoju, codzienne funkcjonowanie i osąd specjalisty."
"Mennesker kan ha lav struktur eller høy fart uten at det handler om ADHD.","Można mieć mało struktury albo żyć w szybkim tempie, i nie musi to mieć związku z ADHD."
"Stemmer ikke","Nie pasuje"
"Litt","Trochę"
"Delvis","Częściowo"
"Ganske","W dużej mierze"
"Stemmer helt","Pasuje całkowicie"
"Skift språk","Zmień język"
"Du må svare på alle utsagn før resultatet kan beregnes.","Musisz odpowiedzieć na wszystkie stwierdzenia, zanim wynik będzie mógł zostać obliczony."
"Svarene dine viser få trekk som ligner de reguleringsvanskene man ser ved ADHD.","Twoje odpowiedzi wykazują niewiele cech przypominających trudności z samoregulacją obserwowane przy ADHD."
"Hverdagen virker stabil og forutsigbar.","Codzienne życie wydaje się stabilne i przewidywalne."
"Mønsteret ditt ligger godt innenfor normal variasjon: noen styrker, litt friksjon, men ingenting som peker klart i én retning.","Twój wzorzec mieści się w granicach normalnej zmienności: trochę mocnych stron, trochę tarcia, ale nic, co wyraźnie wskazywałoby w jedną stronę."
"Du rapporterer en del trekk som kan minne om ADHD, men dette kan like gjerne handle om personlighet, vaner eller livssituasjon.","Zgłaszasz pewne cechy, które mogą przypominać ADHD, ale równie dobrze mogą one wynikać z osobowości, nawyków lub sytuacji życiowej."
"Du beskriver flere områder som ofte skaper vansker i ADHD. Dette er fortsatt ikke diagnostikk, men det kan være verdt en mer formell vurdering dersom dette skaper problemer i hverdagen.","Opisujesz kilka obszarów, które przy ADHD często sprawiają trudności. To nadal nie jest diagnoza, ale jeśli te problemy utrudniają Ci codzienne życie, bardziej formalna ocena może być warta rozważenia."
"av 5","z 5"
"Sendt","Wysłano"
"T-skår","Wynik T"
"Hva betyr T-skår?","Co oznacza wynik T?"
"nb.tskår.md","pl.tskår.md"
"Om testen","O teście"
"Støtt arbeidet","Wesprzyj projekt"
"Du kan støtte videre utvikling av ADHD-appen med en frivillig donasjon via Stripe.","Możesz wesprzeć dalszy rozwój aplikacji ADHD dobrowolną darowizną przez Stripe."
"Støtt ADHD-appen","Wesprzyj aplikację ADHD"
"Frivillig støtte til videre arbeid med ADHD-appen","Dobrowolne wsparcie dalszych prac nad aplikacją ADHD"
"Beløp i NOK","Kwota w NOK"
"Doner","Przekaż darowiznę"
"Du sendes til en sikker Stripe-side for betaling.","Nastąpi przekierowanie na bezpieczną stronę płatności Stripe."
"Takk for støtten!","Dziękujemy za wsparcie!"
"Donasjonen ble avbrutt.","Darowizna została anulowana."
"Velg minst 20 kroner.","Wybierz co najmniej 20 koron."
"Noe gikk galt ved opprettelse av betalingen:","Coś poszło nie tak przy tworzeniu płatności:"
