"nb","uk"
"Dette er ikke en ADHD-test","Це не тест на ADHD."
"Har du ikke ADHD?","У вас немає ADHD?"
"Jeg klarer vanligvis å starte på kjedelige oppgaver uten særlig friksjon","Я зазвичай можу почати нудні завдання без особливих труднощів."
"Jeg mister sjelden viktige ting, og finner dem raskt hvis det skjer","Я рідко гублю важливі речі й швидко знаходжу їх, якщо це трапляється."
"Jeg blir stort sett oppfattet som pålitelig når det gjelder avtaler og frister","Мене зазвичай сприймають як надійну людину, коли йдеться про домовленості та дедлайни."
"Jeg klarer som regel å holde fokus på én oppgave til den er fullført","Я зазвичай можу зосередитися на одному завданні, доки не завершу його."
"Jeg er ikke avhengig av kaos eller siste liten for å komme i gang","Я не залежу від хаосу або останньої хвилини, щоб почати."
"Jeg blir ikke så rastløs at jeg må bevege meg eller avbryte andre","Я не стаю настільки неспокійним, що мені треба рухатися або перебивати інших."
"Jeg glemmer ikke avtaler eller beskjeder i en grad som skaper problemer","Я не забуваю про зустрічі або повідомлення настільки, щоб це спричиняло проблеми."
"Når noe er viktig, klarer jeg å organisere tiden så det får plass","Коли щось важливо, я можу організувати свій час так, щоб на це вистачило місця."
"Tankene løper ikke så ofte løpsk at det hindrer meg i hverdagen","Мої думки не так часто виходять з-під контролю, щоб це заважало мені в повсякденному житті."
"Jeg trenger ikke uvanlig mye ytre struktur for å fungere greit","Мені не потрібна незвично велика зовнішня структура, щоб нормально функціонувати."
"Jeg blir ikke så rastløs at jeg må reise meg når det egentlig forventes at jeg sitter rolig","Я не стаю настільки неспокійним, що мушу встати, коли від мене справді очікують, що я сидітиму спокійно."
"Jeg blir ikke så urolig i kroppen at jeg må tromme, vippe eller fikle for å holde ut","Я не стаю настільки неспокійним у тілі, що мушу постукувати, хитатися чи крутитися, щоб витримати."
"Jeg føler sjelden et sterkt behov for å gå rundt eller skifte aktivitet bare for å få ro i kroppen","Я рідко відчуваю сильну потребу ходити туди-сюди або змінювати заняття лише для того, щоб заспокоїти тіло."
"Foreløpige spørsmål om kroppslig uro. Disse tre spørsmålene brukes ikke i hovedskåren ennå.","Попередні запитання про тілесний неспокій. Ці три запитання ще не входять до основного бала."
"Kort om testen","Коротко про тест"
"Denne testen viser hvordan fravær av oppmerksomhets- og reguleringsvansker kan se ut.","Цей тест показує, як може виглядати відсутність труднощів із увагою та саморегуляцією."
"Den er ikke diagnostisk. Den kan verken bekrefte eller avkrefte ADHD.","Він не є діагностичним. Він не може ні підтвердити, ні спростувати ADHD."
"Beregn resultat","Обчислити результат"
"Spørsmål","Питання"
"Dra i hver slider for å velge hvor godt utsagnet har stemt for deg over tid.","Перетягніть кожен повзунок, щоб вибрати, наскільки добре твердження відповідало вам з часом."
"Resultat","Результат"
"Tolkning","Інтерпретація"
"Forbehold","Застереження"
"En klinisk vurdering innebærer utviklingshistorie, funksjon og faglig skjønn","Клінічна оцінка включає історію розвитку, функціонування та професійне судження."
"Mennesker kan ha lav struktur eller høy fart uten at det handler om ADHD","Люди можуть мати низький рівень структури або високий темп без того, щоб це було пов’язано з ADHD."
"Stemmer ikke","Не підходить"
"Litt","Трохи"
"Delvis","Частково"
"Ganske","Досить"
"Stemmer helt","Повністю відповідає"
"Skift språk","Змінити мову"
"Du må svare på alle utsagn før resultatet kan beregnes","Ви повинні відповісти на всі твердження, перш ніж результат можна буде обчислити."
"Svarene dine viser få trekk som ligner de reguleringsvanskene man ser ved ADHD.","Ваші відповіді показують небагато рис, схожих на труднощі саморегуляції, які бачать при ADHD."
"Hverdagen virker stabil og forutsigbar.","Повсякденне життя виглядає стабільним і передбачуваним."
"Mønsteret ditt ligger godt innenfor normal variasjon: noen styrker, litt friksjon, men ingenting som peker klart i én retning.","Ваш патерн добре вписується в нормальну варіацію: є деякі сильні сторони, трохи тертя, але нічого, що чітко вказувало б в один бік."
"Du rapporterer en del trekk som kan minne om ADHD, men dette kan like gjerne handle om personlighet, vaner eller livssituasjon.","Ви повідомляєте про кілька рис, які можуть нагадувати ADHD, але це так само може бути пов’язано з особистістю, звичками або життєвою ситуацією."
"Du beskriver flere områder som ofte skaper vansker i ADHD. Dette er fortsatt ikke diagnostikk, men det kan være verdt en mer formell vurdering dersom dette skaper problemer i hverdagen.","Ви описуєте кілька сфер, які часто створюють труднощі при ADHD. Це все ще не діагноз, але може бути варто розглянути більш формальну оцінку, якщо це створює проблеми в повсякденному житті."
"Sendt","Надіслано"
"T-skår","T-бал"
"Hva betyr T-skår?","Що означає T-бал?"
"Om testen","Про тест"
"Støtt arbeidet","Підтримайте роботу"
"Du kan støtte videre utvikling av ADHD-appen med en frivillig donasjon via Stripe.","Ви можете підтримати подальший розвиток застосунку ADHD добровільною пожертвою через Stripe."
"Støtt ADHD-appen","Підтримати застосунок ADHD"
"Frivillig støtte til videre arbeid med ADHD-appen","Добровільна підтримка подальшої роботи над застосунком ADHD"
"Beløp i NOK","Сума в NOK"
"Doner","Пожертвувати"
"Du sendes til en sikker Stripe-side for betaling.","Вас буде перенаправлено на безпечну сторінку Stripe для оплати."
"Takk for støtten!","Дякуємо за підтримку!"
"Donasjonen ble avbrutt.","Пожертву було скасовано."
"Velg minst 20 kroner.","Виберіть щонайменше 20 крон."
"Noe gikk galt ved opprettelse av betalingen:","Щось пішло не так під час створення платежу:"
