"nb","fi"
"Dette er ikke en ADHD-test","Tämä ei ole ADHD-testi."
"Har du ikke ADHD?","Eikö sinulla ole ADHD:ta?"
"Jeg klarer vanligvis å starte på kjedelige oppgaver uten særlig friksjon","Pystyn yleensä aloittamaan tylsät tehtävät ilman suurta kitkaa."
"Jeg mister sjelden viktige ting, og finner dem raskt hvis det skjer","Kadotan harvoin tärkeitä asioita, ja löydän ne nopeasti, jos niin käy."
"Jeg blir stort sett oppfattet som pålitelig når det gjelder avtaler og frister","Minua pidetään yleensä luotettavana sovittujen aikojen ja määräaikojen suhteen."
"Jeg klarer som regel å holde fokus på én oppgave til den er fullført","Pystyn yleensä pitämään huomioni yhdessä tehtävässä, kunnes se on valmis."
"Jeg er ikke avhengig av kaos eller siste liten for å komme i gang","En ole riippuvainen kaaoksesta tai viime hetken paineesta päästäkseni alkuun."
"Jeg blir ikke så rastløs at jeg må bevege meg eller avbryte andre","En muutu niin levottomaksi, että minun täytyy liikkua tai keskeyttää muita."
"Jeg glemmer ikke avtaler eller beskjeder i en grad som skaper problemer","En unohda tapaamisia tai viestejä siinä määrin, että siitä aiheutuisi ongelmia."
"Når noe er viktig, klarer jeg å organisere tiden så det får plass","Kun jokin on tärkeää, pystyn järjestämään aikani niin, että sille on tilaa."
"Tankene løper ikke så ofte løpsk at det hindrer meg i hverdagen","Ajatukseni eivät lähde niin usein laukalle, että se haittaisi arkeani."
"Jeg trenger ikke uvanlig mye ytre struktur for å fungere greit","En tarvitse epätavallisen paljon ulkoista rakennetta toimiakseni hyvin."
"Jeg blir ikke så rastløs at jeg må reise meg når det egentlig forventes at jeg sitter rolig","En muutu niin levottomaksi, että minun täytyy nousta ylös silloin, kun minun odotetaan istuvan rauhassa."
"Jeg blir ikke så urolig i kroppen at jeg må tromme, vippe eller fikle for å holde ut","En muutu niin levottomaksi kehossani, että minun täytyy naputtaa, keinua tai näperrellä jaksakseni."
"Jeg føler sjelden et sterkt behov for å gå rundt eller skifte aktivitet bare for å få ro i kroppen","Tunnen harvoin vahvaa tarvetta kuljeskella tai vaihtaa tekemistä vain saadakseni kehoni rauhoittumaan."
"Foreløpige spørsmål om kroppslig uro. Disse tre spørsmålene brukes ikke i hovedskåren ennå.","Alustavia kysymyksiä kehon levottomuudesta. Näitä kolmea kysymystä ei vielä lasketa mukaan pääpisteeseen."
"Kort om testen","Lyhyesti testistä"
"Denne testen viser hvordan fravær av oppmerksomhets- og reguleringsvansker kan se ut.","Tämä testi näyttää, miltä huomion ja säätelyn vaikeuksien puuttuminen voi näyttää."
"Den er ikke diagnostisk. Den kan verken bekrefte eller avkrefte ADHD.","Se ei ole diagnostinen. Se ei voi vahvistaa eikä sulkea pois ADHD:ta."
"Beregn resultat","Laske tulos"
"Spørsmål","Kysymykset"
"Dra i hver slider for å velge hvor godt utsagnet har stemt for deg over tid.","Vedä jokaista liukua valitaksesi, kuinka hyvin väite on pitänyt paikkansa ajan mittaan."
"Resultat","Tulos"
"Tolkning","Tulkinta"
"Forbehold","Huomioitavaa"
"En klinisk vurdering innebærer utviklingshistorie, funksjon og faglig skjønn","Kliininen arviointi edellyttää kehityshistoriaa, toimintakykyä ja ammatillista harkintaa."
"Mennesker kan ha lav struktur eller høy fart uten at det handler om ADHD","Ihmisillä voi olla vähän rakennetta tai kova tahti ilman, että se liittyy ADHD:hen."
"Stemmer ikke","Ei sovi"
"Litt","Hieman"
"Delvis","Osittain"
"Ganske","Melko paljon"
"Stemmer helt","Pitää täysin paikkansa"
"Skift språk","Vaihda kieli"
"Du må svare på alle utsagn før resultatet kan beregnes","Sinun on vastattava kaikkiin väittämiin ennen kuin tulos voidaan laskea."
"Svarene dine viser få trekk som ligner de reguleringsvanskene man ser ved ADHD.","Vastauksissasi näkyy vain vähän ADHD:ssa nähtäviä säätelyvaikeuksia muistuttavia piirteitä."
"Hverdagen virker stabil og forutsigbar.","Arki näyttää vakaalta ja ennustettavalta."
"Mønsteret ditt ligger godt innenfor normal variasjon: noen styrker, litt friksjon, men ingenting som peker klart i én retning.","Vastausmallisi pysyy hyvin normaalin vaihtelun sisällä: joitakin vahvuuksia, vähän kitkaa, mutta ei mitään, mikä osoittaisi selvästi yhteen suuntaan."
"Du rapporterer en del trekk som kan minne om ADHD, men dette kan like gjerne handle om personlighet, vaner eller livssituasjon.","Raportoit useita piirteitä, jotka voivat muistuttaa ADHD:ta, mutta kyse voi aivan yhtä hyvin olla persoonallisuudesta, tavoista tai elämäntilanteesta."
"Du beskriver flere områder som ofte skaper vansker i ADHD. Dette er fortsatt ikke diagnostikk, men det kan være verdt en mer formell vurdering dersom dette skaper problemer i hverdagen.","Kuvaat useita alueita, jotka aiheuttavat usein vaikeuksia ADHD:ssa. Tämä ei vieläkään ole diagnoosi, mutta voi olla syytä harkita tarkempaa arviota, jos siitä aiheutuu ongelmia arjessa."
"Sendt","Lähetetty"
"T-skår","T-piste"
"Hva betyr T-skår?","Mitä T-piste tarkoittaa?"
"Om testen","Tietoa testistä"
"Støtt arbeidet","Tue työtä"
"Du kan støtte videre utvikling av ADHD-appen med en frivillig donasjon via Stripe.","Voit tukea ADHD-sovelluksen jatkokehitystä vapaaehtoisella lahjoituksella Stripen kautta."
"Støtt ADHD-appen","Tue ADHD-sovellusta"
"Frivillig støtte til videre arbeid med ADHD-appen","Vapaaehtoinen tuki ADHD-sovelluksen jatkokehitykseen"
"Beløp i NOK","Summa NOK:ssa"
"Doner","Lahjoita"
"Du sendes til en sikker Stripe-side for betaling.","Sinut ohjataan turvalliselle Stripe-sivulle maksua varten."
"Takk for støtten!","Kiitos tuesta!"
"Donasjonen ble avbrutt.","Lahjoitus keskeytettiin."
"Velg minst 20 kroner.","Valitse vähintään 20 kruunua."
"Noe gikk galt ved opprettelse av betalingen:","Maksun luomisessa tapahtui virhe:"
