nb;da;sv;en;fr;de;nn;se;smh;fkv;es
Dette er ikke en ADHD-test;Dette er ikke en ADHD-test;Detta är inte ett ADHD-test;This is not an ADHD test.;Ce n’est pas un test de TDAH;Dies ist kein ADHS-Test.;Dette er ikkje ein ADHD-test.;Dát ii leat ADHD-geahččaleapmi.;Dette ii leat ADHD-diehtaduodje;Dette ei ole ADHD-testi.;Esto no es una prueba de TDAH.
Jeg klarer vanligvis å starte på kjedelige oppgaver uten særlig friksjon;Jeg kan som regel starte på kedelige opgaver uden større modstand;Jag kan vanligtvis börja med tråkiga uppgifter utan särskilt mycket motstånd;I can usually start on boring tasks without much friction.;Je parviens généralement à commencer des tâches ennuyeuses sans trop de friction.;Ich kann normalerweise mit langweiligen Aufgaben beginnen, ohne viel Reibung zu erleben.;Eg klarer vanlegvis å starte på kjedelege oppgåver utan særleg friksjon;Mun dovdda láhkái šlára bargguide álgoheapmái haga ruhta;Mun divrras jáhkkán vuodjástit vuollega válmmástusarbehkuid haga stuora dikhte;Minun oon tavalisesti heleppo alottaat tylssät työt ilman isoa kitkaa;Normalmente logro empezar tareas aburridas sin demasiada fricción.
Jeg mister sjelden viktige ting, og finner dem raskt hvis det skjer;Jeg mister sjældent vigtige ting og finder dem hurtigt, hvis det sker;Jag tappar sällan bort viktiga saker, och hittar dem snabbt om det händer;I rarely lose important things, and if I do, I find them quickly.;Je perds rarement des objets importants et je les retrouve vite lorsque cela arrive.;Ich verliere selten wichtige Dinge und finde sie schnell wieder, falls es passiert.;Eg mistar sjeldan viktige ting og finn dei raskt att dersom det skjer;Mun vajaldaid ja boazodallán váttisvuođaid vuostáiváldi go dat dáhpáhuvvá;Mun vuolgit álo váldet vallasvuoru birra, ja gávdnat dan rievttes go dat dáhpáhuvvá;Minä harvon hukkhaan tärkeitä asioita ja löyvän ne äkkiä ko se tapahtuu;Rara vez pierdo cosas importantes, y si ocurre, las encuentro rápido.
Jeg blir stort sett oppfattet som pålitelig når det gjelder avtaler og frister;Jeg bliver som regel opfattet som pålidelig, når det gælder aftaler og deadlines;Jag uppfattas oftast som pålitlig när det gäller avtal och deadlines;I am generally seen as reliable when it comes to appointments and deadlines.;On me considère généralement comme fiable lorsqu’il s’agit de rendez-vous et d’échéances.;Ich werde im Allgemeinen als zuverlässig wahrgenommen, wenn es um Termine und Fristen geht.;Eg blir stort sett oppfatta som påliteleg når det gjeld avtalar og fristar;Mu birra šaddá álo muituhit ahte mun lean ráhkis ja árvvus barggutid ja áigodatid;Mun álo birget vejolašvuođain ja áššisániid gaskal;Minut koetaan yleensä luottettavaksi sovittujen aikojen ja tehtävien kans;Por lo general se me considera fiable en lo que respecta a citas y plazos.
Jeg klarer som regel å holde fokus på én oppgave til den er fullført;Jeg kan som regel holde fokus på én opgave, indtil den er færdig;Jag kan oftast hålla fokus på en uppgift tills den är slutförd;I can usually stay focused on one task until it is completed.;Je parviens en général à rester concentré sur une seule tâche jusqu’à ce qu’elle soit terminée.;Ich schaffe es normalerweise, mich auf eine Aufgabe zu konzentrieren, bis sie abgeschlossen ist.;Eg klarer som regel å halde fokus på éi oppgåve til ho er fullført;Mun beasán dábálaččat joavkan eret váilevaš barggu ovttadettiin gitta go dat lea máksán;Mun divnastan álo ovddos bargguid vuollerástegis gitta go dat leat geargan;Minä pystyn tavalisesti pitthään fokuksen yhthen työn loppuunsa;Por lo general consigo mantenerme concentrado en una tarea hasta terminarla.
Jeg er ikke avhengig av kaos eller siste liten for å komme i gang;Jeg er ikke afhængig af kaos eller sidste øjeblik for at komme i gang;Jag är inte beroende av kaos eller sista minuten för att komma igång;I am not dependent on chaos or last-minute pressure to get started.;Je ne dépends pas du chaos ou de la dernière minute pour réussir à démarrer.;Ich bin nicht auf Chaos oder den letzten Moment angewiesen, um in Gang zu kommen.;Eg er ikkje avhengig av kaos eller siste liten for å kome i gang;In berošta hurriiheapmái dahje geardduheapmái maŋimuš geardduid ovddos;Mun ii dárbbaš kaosav dahje maŋemus áiggis bargat;En ole riippuvainen kaaoksesta eli viimihetken pakosta lähteä liikkeele;No dependo del caos ni de la presión del último minuto para ponerme en marcha.
Jeg blir ikke så rastløs at jeg må bevege meg eller avbryte andre;Jeg bliver ikke så rastløs, at jeg må bevæge mig eller afbryde andre;Jag blir inte så rastlös att jag måste röra på mig eller avbryta andra;I do not become so restless that I need to move around or interrupt others.;Je ne deviens pas si agité que je dois bouger ou interrompre les autres.;Ich werde nicht so unruhig, dass ich mich bewegen oder andere unterbrechen muss.;Eg blir ikkje så rastlaus at eg må røre på meg eller avbryte andre;In šaddat nu njálmmálaš ahte galgat lihkastit vai geavahit iežan;Mun lihkkárdus ii galggaš dan áddet ahte galggaš mannat ja báhkadit earáid;En tule niin levottomaksi ette minun pittää liikkua tai keskeyttää toisia;No me pongo tan inquieto como para necesitar moverme o interrumpir a otras personas.
Jeg glemmer ikke avtaler eller beskjeder i en grad som skaper problemer;Jeg glemmer ikke aftaler eller beskeder i et omfang, der skaber problemer;Jag glömmer inte möten eller meddelanden i en grad som skapar problem;I do not forget appointments or messages to a degree that causes problems.;J’oublie rarement des rendez-vous ou des messages au point que cela cause des problèmes.;Ich vergesse Termine oder Mitteilungen nicht in einem Ausmaß, das Probleme verursacht.;Eg gløymer ikkje avtalar eller beskjedar i ein grad som skaper problem;In vajálda muitalit dahje dieđit nu buot go dat dagaha váttisvuođaiguin;Mun ii vajálda áššiid dahje dieđuid dan vejolašvuođain ahte dat buriid birget;En unohda sovittuja asioita eli viesthiä siinä määrin ette siitä tulis ongelmaa;No olvido citas o mensajes hasta un punto que genere problemas.
Når noe er viktig, klarer jeg å organisere tiden så det får plass;Når noget er vigtigt, kan jeg organisere min tid, så der bliver plads til det;När något är viktigt kan jag organisera min tid så att det får plats;When something is important, I am able to organise my time so it fits.;Quand quelque chose est important, j’arrive à organiser mon temps pour lui faire une place.;Wenn etwas wichtig ist, kann ich meine Zeit so organisieren, dass es Platz bekommt.;Når noko er viktig, klarer eg å organisere tida slik at det får plass;Go muhto lea dehálaš, deavdán áiggi ja ráhkadan dan fitte;Go ášši lea dehálaš, de mun álo divnastan áiggi nu ahte dat sáhttá dahkat;Ko jokin oon tärkeä, minä saan ajjan järjestettyä sille aži;Cuando algo es importante, logro organizar mi tiempo para hacerle sitio.
Tankene løper ikke så ofte løpsk at det hindrer meg i hverdagen;Mine tanker løber ikke så ofte løbsk, at det hindrer mig i hverdagen;Mina tankar rusar inte så ofta att det hindrar mig i vardagen;My thoughts do not run away so often that it disrupts my daily life.;Mes pensées ne s’emballent pas si souvent que cela gêne mon quotidien.;Meine Gedanken laufen nicht so oft aus dem Ruder, dass es mich im Alltag behindert.;Tankane mine løper ikkje så ofte løpsk at det hindrar meg i kvardagen;Mu jurdagat eai juogahuvvo nu mávssolaččat ahte dat hehttet mu árgabeaivvi;Áddet ii vuodjá mielde nu bures ahte dat fállet mu beaivvi;Ajatukset eivät lähde niin useasti laukalle ette ne haittais arkea;Mis pensamientos no se desbocan tan a menudo como para dificultarme la vida diaria.
Jeg trenger ikke uvanlig mye ytre struktur for å fungere greit;Jeg har ikke brug for usædvanligt meget ydre struktur for at fungere godt;Jag behöver inte ovanligt mycket yttre struktur för att fungera bra;I do not need unusually strong external structure to function well.;Je n’ai pas besoin d’une structure externe inhabituelle pour fonctionner correctement.;Ich brauche keine ungewöhnlich starke äußere Struktur, um gut zu funktionieren.;Eg treng ikkje uvanleg mykje ytre struktur for å fungere greitt;Mun in gáibida unnánge eará ođđa struktuvrra vai sávan bures bargat;Mun ii dárbbaš unna olggosráhkadusa álo buriid birget;En tarvi epänormaalin paljon ulkopuolista struktuuria toimiakseni hyvin;No necesito una cantidad inusualmente alta de estructura externa para funcionar razonablemente bien.
Jeg blir ikke så rastløs at jeg må reise meg når det egentlig forventes at jeg sitter rolig;Jeg bliver ikke så rastløs, at jeg må rejse mig, når det egentlig forventes, at jeg sidder roligt;Jag blir inte så rastlös att jag måste resa mig när det egentligen förväntas att jag sitter still;I do not become so restless that I have to get up when I am expected to sit still.;Je ne deviens pas si agité que je doive me lever alors qu’on attend en fait de moi que je reste assis.;Ich werde nicht so unruhig, dass ich aufstehen muss, obwohl eigentlich erwartet wird, dass ich ruhig sitzen bleibe.;Eg blir ikkje så rastlaus at eg må reise meg når det eigentleg blir venta at eg skal sitje roleg;Mun ii šaddat nu rasttlas ahte mun fertešan bajit go vuorddáhuvvo ahte mun čohkkán roas;Mun ii šattat nu rasttalaš ahte mun fertešan njuogut go vuorddášeami mielde galgá mun čohkká roasis;En tule niin levottomaksi että minun täytyy nousta ylös vaikka minulta odotetaan että istun hiljaa;No me pongo tan inquieto como para tener que levantarme cuando en realidad se espera que me quede sentado tranquilo
Jeg blir ikke så urolig i kroppen at jeg må tromme, vippe eller fikle for å holde ut;Jeg bliver ikke så urolig i kroppen, at jeg må tromme, vippe eller pille for at holde ud;Jag blir inte så orolig i kroppen att jag måste trumma, gunga eller pilla för att stå ut;I do not become so restless in my body that I have to tap, rock, or fidget to get through it.;Je ne ressens pas une telle agitation physique que je doive taper, me balancer ou tripoter quelque chose pour tenir le coup.;Ich werde nicht so unruhig im Körper, dass ich trommeln, wippen oder herumfummeln muss, um es auszuhalten.;Eg blir ikkje så uroleg i kroppen at eg må tromme, vippe eller fikle for å halde det ut;Mun ii šaddat nu gielas ahte mun fertešan dámmet, vippat dahje fiklat vai birgehit;Mun ii šattat nu levottomaksi kroppassa ahte minun täytyy naputtaa, keinua tai näperrellä jotta jaksan;En tule niin levottomaksi kroppassa että minun täytyy naputtaa, keinua tai näperrellä jotta jaksan;No me pongo tan inquieto en el cuerpo como para tener que tamborilear, balancearme o moverme para aguantar
Jeg føler sjelden et sterkt behov for å gå rundt eller skifte aktivitet bare for å få ro i kroppen;Jeg føler sjældent et stærkt behov for at gå rundt eller skifte aktivitet bare for at få ro i kroppen;Jag känner sällan ett starkt behov av att gå omkring eller byta aktivitet bara för att få ro i kroppen;I rarely feel a strong need to walk around or switch activities just to settle my body down.;Je ressens rarement un fort besoin de marcher ou de changer d’activité juste pour calmer mon corps.;Ich verspüre selten das starke Bedürfnis, herumzulaufen oder die Aktivität zu wechseln, nur um meinen Körper zu beruhigen.;Eg føler sjeldan eit sterkt behov for å gå rundt eller skifte aktivitet berre for å få ro i kroppen;Mun sierra goit unniid dárbbašit mannat čađa dahje sirdit doaibma dušše vai oažžut ráfi iežan gielas;Mun šaddan otnjot dárbbašit mannat rundun dahje sirddet barggu dušše vai oažžut ráfi gielas;Tunnen harvoin vahvaa tarvetta kävellä ympäri tai vaihtaa hommaa vain jotta saan kroppaan rauhan;Rara vez siento una necesidad fuerte de caminar o cambiar de actividad solo para calmar el cuerpo
Foreløpige spørsmål om kroppslig uro. Disse tre spørsmålene brukes ikke i hovedskåren ennå.;Foreløbige spørgsmål om kropslig uro. Disse tre spørgsmål bruges endnu ikke i hovedscoren.;Preliminära frågor om kroppslig oro. De här tre frågorna räknas ännu inte in i huvudpoängen.;Preliminary questions about bodily restlessness. These three questions do not yet count toward the main score.;Questions préliminaires sur l’agitation corporelle. Ces trois questions ne comptent pas encore dans le score principal.;Vorläufige Fragen zur körperlichen Unruhe. Diese drei Fragen zählen noch nicht zum Hauptwert.;Førebelse spørsmål om kroppsleg uro. Desse tre spørsmåla tel enno ikkje med i hovudskåren.;Ovdal jearaldagat kroppalaš rasttalašvuođa birra. Dát golbma jearaldaga eai leat vel mielde vuođđobohtosii.;Ovdalaš jearaldagat kroppalaš rasttalašvuođa birra. Dát golbma jearaldaga eai leat vel mielde vuođđobojtus.;Alustavat kysymykset ruumiillisesta levottomuudesta. Nämä kolme kysymystä eivät vielä kuulu pääpisteeseen.;Preguntas preliminares sobre inquietud corporal. Estas tres preguntas todavía no cuentan en la puntuación principal.
Kort om testen;Kort om testen;Kort om testet;Short description of the test;Bref au sujet du test;Kurzinformation zum Test;Kort om testen;Korte sániin;Oanehaččat dieđuheapmi;Lyhyesti testistä;Breve sobre la prueba
Denne testen viser hvordan fravær av oppmerksomhets- og reguleringsvansker kan se ut.;Denne test viser, hvordan fravær af opmærksomheds- og reguleringsvanskeligheder kan se ud;Detta test visar hur frånvaro av uppmärksamhets- och regleringssvårigheter kan se ut;This test illustrates what the absence of attention and regulation difficulties can look like.;Ce test illustre à quoi peut ressembler l’absence de difficultés d’attention et d’autorégulation.;Dieser Test zeigt, wie das Fehlen von Aufmerksamkeits- und Regulationsschwierigkeiten aussehen kann.;Denne testen viser korleis fråvær av merksemds- og reguleringsvanskar kan sjå ut.;Dát geahččaleapmi čájeha mo duššehuhttin- ja regulerenváttisvuođa váilluhanjavdnat sáhttet oidnot.;Dát diehtu čájeha movt attevuorkkávuohta ja divrrasvuohta sáhttet čájehit;Tämä testi näyttää, millaista voipi olla ilman keskittymis- ja säätelyvaikeuksia.;Esta prueba muestra cómo puede verse la ausencia de dificultades de atención y regulación.
Den er ikke diagnostisk. Den kan verken bekrefte eller avkrefte ADHD.;Den er ikke diagnostisk. Den kan hverken bekræfte eller afkræfte ADHD;Den är inte diagnostisk. Den kan varken bekräfta eller utesluta ADHD;It is not diagnostic. It can neither confirm nor rule out ADHD.;Il n’est pas diagnostique. Il ne peut ni confirmer ni infirmer un TDAH.;Er ist nicht diagnostisch. Er kann weder ADHS bestätigen noch ausschließen.;Ho er ikkje diagnostisk. Ho kan verken stadfeste eller avkrefte ADHD.;Ii leat diagnostihkalaš. Dat ii sáhte gudnejahttit dahje hilmmat ADHD.;Dat ii leat diagnosa. Dat ii sáhte nanne dahje hilgut ADHD-diehtu;Se ei ole diagnostinen. Se ei voi vahvistaat taikka kiistõät ADHD:tä.;No es diagnóstica. No puede ni confirmar ni descartar el TDAH.
Beregn resultat;Beregn resultat;Beräkna resultat;Calculate result;Calculer le résultat;Ergebnis berechnen;Rekn ut resultat;Rehkenastte bohtosa;Rehkenastte boasttu;Laske tulos;Calcular resultado
Spørsmål;Spørgsmål;Frågor;Questions;Questions;Fragen;Spørsmål;Jearaldagat;Jearaldagat;Kysymykset;Preguntas
Dra i hver slider for å velge hvor godt utsagnet har stemt for deg over tid.;Træk i hver skyder for at vælge, hvor godt udsagnet har passet på dig over tid;Dra i varje reglage för att ange hur väl påståendet har stämt för dig över tid;Move each slider to indicate how well the statement has applied to you over time.;Faites glisser chaque curseur pour indiquer à quel point l’énoncé vous correspond au fil du temps.;Bewege jeden Schieberegler, um auszuwählen, wie gut die Aussage über längere Zeit auf dich zutrifft.;Dra i kvar glidebrytar for å velje kor godt utsegnet har stemt for deg over tid.;Sirdde juoga geavaheaddji áššiid válljemiiguin vai fuotnavuođat ođasmahttojuvvojit áiggi mielde.;Galgat sirdit buot sláidera čájehit movt dadjá iđit áiggi čađa;Vedä jokaista liukua valitaksesi, kuin hyvästi lausuma soppii sinule ajassa.;Mueve cada control deslizante para indicar hasta qué punto la afirmación se ha ajustado a ti con el tiempo.
Resultat;Resultat;Resultat;Result;Résultat;Ergebnis;Resultat;Bohtosa;Boahtteárvvut;Tulos;Resultado
Tolkning;Tolkning;Tolkning;Interpretation;Interprétation;Interpretation;Tolkning;Jearaldat;Čilge;Tulkinta;Interpretación
Gjennomsnittsskår;Gennemsnitsscore;Genomsnittspoäng;Average score;Score moyen;Durchschnittswert;Gjennomsnittsskår;Ovttastat čuoggáŋ;Oavgutvuoru;Keskiarvopisteet;Puntuación media
Forbehold;Forbehold;Förbehåll;Reservations;Réserves;Vorbehalte;Atterhald;Viehkkimusat;Árvoheapmi;Varaukset;Salvedades
En klinisk vurdering innebærer utviklingshistorie, funksjon og faglig skjønn;En klinisk vurdering indebærer udviklingshistorie, funktion og fagligt skøn;En klinisk bedömning innefattar utvecklingshistoria, funktion och professionellt omdöme;A clinical assessment includes developmental history, daily functioning, and professional judgement.;Une évaluation clinique implique l’histoire du développement, le fonctionnement et le jugement professionnel.;Eine klinische Beurteilung umfasst Entwicklungsgeschichte, Funktion und fachliche Einschätzung.;Ei klinisk vurdering inneber utviklingshistorie, funksjon og fagleg skjøn.;Earádiagnostihkalaš dáhkku galgá čuovvut ovdánahttinhistorjjá, funkšuvnna ja fágalaš dieđuid.;Klinihkalaš árvoheapmi gáibida ovdáneami, doaimma ja áššesárdnii;Kliininen arviointi sisältää kehityshistoorian, toimintakyvyn ja ammattimaisen harkinannan.;Una evaluación clínica incluye la historia del desarrollo, el funcionamiento diario y el juicio profesional.
Mennesker kan ha lav struktur eller høy fart uten at det handler om ADHD;Mennesker kan have lav struktur eller højt tempo uden at det handler om ADHD;Människor kan ha låg struktur eller högt tempo utan att det handlar om ADHD;People can have low structure or high pace without it being related to ADHD.;On peut avoir peu de structure ou un rythme élevé sans que cela relève du TDAH.;Menschen können wenig Struktur oder hohes Tempo haben, ohne dass es um ADHS geht.;Menneske kan ha låg struktur eller høg fart utan at det handlar om ADHD.;Olbmot sáhttet leat unnán struktur dahje hui bures fásta, muhto dat ii mearkkaš guđe buot lea ADHD.;Olmmoš sáhttá leat unniduvvon struktuvrrain dahje nággeduvvon haga ahte dat sáhttá leat ADHD;Ihmisillä voipi olla vähä rakenne taikka korkea tempo ilman että se oon ADHD:stä kiini.;Las personas pueden tener poca estructura o un ritmo alto sin que eso tenga que ver con el TDAH.
Stemmer ikke;Stemmer ikke;Stämmer inte alls;Does not apply;Ne correspond pas du tout;Trifft nicht zu;Stemmer ikkje;Ii heive;Ii rievttes;Ei sovi;No se aplica
Litt;Lidt;Lite grann;A little;Un peu;Wenig;Litt;Unnit;Unna;Vähä;Un poco
Delvis;Delvist;Delvis;Partly;Partiellement;Teilweise;Delvis;Oassi;Oassi;Osaksi;Parcialmente
Ganske;Ret godt;Ganska;Quite a bit;Assez;Ziemlich;Ganske;Arggat;Buorre;Aika paljon;Bastante
Stemmer helt;Stemmer helt;Stämmer helt;Fully applies;Correspond tout à fait;Trifft völlig zu;Stemmer heilt;Heivet ollu;Rievttes bures;Soppii kokonhaan;Se aplica por completo
Skift språk;Skift sprog;Byt språk;Change language;Changer de langue;Sprache wechseln;Skift språk;Šeaŋggat giela;Sirdu giella;Skift kieli;Cambiar idioma
Du må svare på alle utsagn før resultatet kan beregnes;Du skal svare på alle udsagn, før resultatet kan beregnes;Du måste besvara alla påståenden innan resultatet kan beräknas;You must answer all statements before the result can be calculated.;Vous devez répondre à toutes les affirmations avant que le résultat puisse être calculé.;Du musst alle Aussagen beantworten, bevor das Ergebnis berechnet werden kann.;Du må svare på alle utsegna før resultatet kan reknast ut.;Don ferte vahččat buot dadjat ovdal go sáhttá arvvoštallat bohtosa.;Don galggat vástidit buot dadjui ovdal go sáhttit rehkenastit;Sinun pittää vastata kaikkiin väitteisiin ennenkuin tulos voijaan laskea.;Debes responder a todas las afirmaciones antes de calcular el resultado.
Svarene dine viser få trekk som ligner de reguleringsvanskene man ser ved ADHD.;Dine svar viser få træk, der ligner de reguleringsvanskeligheder, man ser ved ADHD;Dina svar visar få drag som liknar de regleringssvårigheter man ser vid ADHD.;Your answers show few traits resembling the regulation difficulties seen in ADHD.;Vos réponses montrent peu de caractéristiques ressemblant aux difficultés de régulation que l’on observe dans le TDAH.;Deine Antworten zeigen nur wenige Merkmale, die den Regulationsschwierigkeiten bei ADHS ähneln.;Svara dine viser få trekk som liknar dei reguleringsvanskane ein ser ved ADHD.;Don dáhtutvuođain čájehit unnit láhtuheapmavuođaid mat leaš go lea ADHD.;Dutnje vástit leat unniduvvon beassat attevuorkkávuođain mii vižžoha ADHD-dáhpáhusaid.;Sinun vastaukset osoittavat vain harvoja piirteitä, jokka muistuttavat niistä säätelyvankoista mitä nähthään ADHD:ssa.;Tus respuestas muestran pocos rasgos que se parezcan a las dificultades de regulación que se observan en el TDAH.
Hverdagen virker stabil og forutsigbar.;Hverdagen fremstår stabil og forudsigelig;Vardagen verkar stabil och förutsägbar;Everyday life appears stable and predictable.;Le quotidien semble stable et prévisible.;Dein Alltag wirkt stabil und vorhersehbar.;Kvardagen verkar stabil og føreseieleg.;Áiggis du árgabeaivi muitalaš geatnegahttit.;Beaivvádat čájeha unnidit.;Arki näyttäy tasaiselta ja ennustettavalta.;La vida cotidiana parece estable y predecible.
Mønsteret ditt ligger godt innenfor normal variasjon: noen styrker, litt friksjon, men ingenting som peker klart i én retning.;Dit mønster ligger godt inden for normal variation: nogle styrker, lidt friktion, men intet der peger tydeligt i én retning;Ditt mönster ligger väl inom normal variation: vissa styrkor, lite friktion, men inget som tydligt pekar åt ett håll;Your pattern falls well within normal variation: some strengths, some friction, but nothing pointing clearly in one direction.;Votre profil se situe bien dans la variation normale : quelques forces, un peu de friction, mais rien qui pointe nettement dans une direction.;Dein Muster liegt klar innerhalb der normalen Variation: einige Stärken, etwas Reibung, aber nichts som weist deutlich in eine Richtung.;Mønsteret ditt ligg godt innanfor normal variasjon: nokre styrkar, litt friksjon, men ingenting som peikar klart i éi retning.;Du vuohki lea olámuttus normálalaš: muhtun dáhkkiid, muhtun nanna, muhto eai makkárge čielggas hástalusat.;Dutnje divrrasvuohta lea álo normálas: unniid divrrasvuođaid ja unniid váikkuhusaid haga stuora dika;Sinun malli männee hyvin tavallisen vaihtelun sisäle: jotaki vahvuuksia, vähän kitkaa, mutta ei mitn joka osoittais selvästi yhteen suuntaan.;Tu patrón se sitúa claramente dentro de la variación normal: algunas fortalezas, algo de fricción, pero nada que apunte claramente en una dirección.
Du rapporterer en del trekk som kan minne om ADHD, men dette kan like gjerne handle om personlighet, vaner eller livssituasjon.;Du rapporterer flere træk, der kan minde om ADHD, men dette kan lige så vel handle om personlighed, vaner eller livssituation;Du rapporterar vissa drag som kan påminna om ADHD, men detta kan lika gärna handla om personlighet, vanor eller livssituation;You report several traits that can resemble ADHD, but these may just as well reflect personality, habits, or life circumstances.;Vous rapportez plusieurs traits pouvant rappeler le TDAH, mais cela peut tout aussi bien relever de la personnalité, des habitudes ou de votre situation de vie.;Du berichtest einige Merkmale, die an ADHS erinnern können, aber das kann ebenso gut mit Persönlichkeit, Gewohnheiten oder Lebenssituation zu tun haben.;Du rapporterer ein del trekk som kan minne om ADHD, men dette kan like gjerne handle om personlegdom, vanar eller livssituasjon.;Don dieđuhit muhtun dáhkkiid mat sáhttet geavahit ADHD, muhto dát sáhttá maid leat persovnnalaš láhčit, heiveheapmi dahje eluvuohta.;Don čilge unniid divrrasvuođaid mat sáhttet nanne ADHD, muhto dat sáhttá leat persovnnalašvuođain dahje beaivvi bargguid;Sää raportoit joitaki piirteitä, jokka voijat muistuttaa ADHD:ta, mutta tämä voijaan yhtä hyvin johtua persoonasta, tavoista eli elämäntilanteesta.;Tus respuestas incluyen varios rasgos que pueden recordar al TDAH, pero esto también puede tener que ver con la personalidad, los hábitos o la situación vital.
